"individuo,fitness"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.3333333333333333"
"17,0.3333333333333333"
"18,0.5"
"19,0.5"
"0,0.2"
"1,0.2"
"2,0.2"
"3,0.2"
"4,0.2"
"5,0.2"
"6,0.2"
"7,0.25"
"8,0.25"
"9,0.25"
"10,0.25"
"11,0.25"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.3333333333333333"
"17,0.3333333333333333"
"18,0.5"
"19,0.5"
"0,0.2"
"1,0.2"
"2,0.2"
"3,0.2"
"4,0.2"
"5,0.2"
"6,0.2"
"7,0.25"
"8,0.25"
"9,0.25"
"10,0.25"
"11,0.25"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.3333333333333333"
"17,0.3333333333333333"
"18,0.5"
"19,0.5"
"0,0.2"
"1,0.2"
"2,0.2"
"3,0.2"
"4,0.2"
"5,0.2"
"6,0.2"
"7,0.25"
"8,0.25"
"9,0.25"
"10,0.25"
"11,0.25"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.3333333333333333"
"17,0.3333333333333333"
"18,0.5"
"19,0.5"
"0,0.2"
"1,0.2"
"2,0.2"
"3,0.2"
"4,0.2"
"5,0.2"
"6,0.2"
"7,0.25"
"8,0.25"
"9,0.25"
"10,0.25"
"11,0.25"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.3333333333333333"
"17,0.3333333333333333"
"18,0.5"
"19,0.5"
"0,0.2"
"1,0.2"
"2,0.2"
"3,0.2"
"4,0.2"
"5,0.2"
"6,0.25"
"7,0.25"
"8,0.25"
"9,0.25"
"10,0.25"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.3333333333333333"
"17,0.3333333333333333"
"18,0.5"
"19,0.5"
"0,0.2"
"1,0.2"
"2,0.2"
"3,0.2"
"4,0.2"
"5,0.2"
"6,0.25"
"7,0.25"
"8,0.25"
"9,0.25"
"10,0.25"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.3333333333333333"
"17,0.3333333333333333"
"18,0.5"
"19,0.5"
"0,0.2"
"1,0.2"
"2,0.2"
"3,0.2"
"4,0.2"
"5,0.25"
"6,0.25"
"7,0.25"
"8,0.25"
"9,0.25"
"10,0.25"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.3333333333333333"
"17,0.3333333333333333"
"18,0.5"
"19,0.5"
"0,0.2"
"1,0.2"
"2,0.2"
"3,0.2"
"4,0.2"
"5,0.25"
"6,0.25"
"7,0.25"
"8,0.25"
"9,0.25"
"10,0.25"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.3333333333333333"
"17,0.3333333333333333"
"18,0.5"
"19,0.5"
"0,0.2"
"1,0.2"
"2,0.2"
"3,0.2"
"4,0.2"
"5,0.25"
"6,0.25"
"7,0.25"
"8,0.25"
"9,0.25"
"10,0.25"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.3333333333333333"
"17,0.3333333333333333"
"18,0.5"
"19,0.5"
"0,0.2"
"1,0.2"
"2,0.2"
"3,0.2"
"4,0.25"
"5,0.25"
"6,0.25"
"7,0.25"
"8,0.25"
"9,0.25"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.3333333333333333"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.2"
"1,0.2"
"2,0.2"
"3,0.2"
"4,0.25"
"5,0.25"
"6,0.25"
"7,0.25"
"8,0.25"
"9,0.25"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.3333333333333333"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.2"
"1,0.2"
"2,0.2"
"3,0.2"
"4,0.25"
"5,0.25"
"6,0.25"
"7,0.25"
"8,0.25"
"9,0.25"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.3333333333333333"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.2"
"1,0.2"
"2,0.2"
"3,0.2"
"4,0.25"
"5,0.25"
"6,0.25"
"7,0.25"
"8,0.25"
"9,0.25"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.3333333333333333"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.2"
"1,0.2"
"2,0.2"
"3,0.2"
"4,0.25"
"5,0.25"
"6,0.25"
"7,0.25"
"8,0.25"
"9,0.25"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.3333333333333333"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.2"
"1,0.2"
"2,0.2"
"3,0.2"
"4,0.25"
"5,0.25"
"6,0.25"
"7,0.25"
"8,0.25"
"9,0.25"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.3333333333333333"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.2"
"1,0.2"
"2,0.2"
"3,0.25"
"4,0.25"
"5,0.25"
"6,0.25"
"7,0.25"
"8,0.25"
"9,0.25"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.3333333333333333"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.2"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.25"
"5,0.25"
"6,0.25"
"7,0.25"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.2"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.25"
"5,0.25"
"6,0.25"
"7,0.25"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.2"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.25"
"5,0.25"
"6,0.25"
"7,0.25"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.2"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.25"
"5,0.25"
"6,0.25"
"7,0.25"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.25"
"5,0.25"
"6,0.25"
"7,0.25"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.25"
"5,0.25"
"6,0.25"
"7,0.25"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.25"
"5,0.25"
"6,0.25"
"7,0.25"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.25"
"5,0.25"
"6,0.25"
"7,0.25"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.25"
"5,0.25"
"6,0.25"
"7,0.25"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.25"
"5,0.25"
"6,0.25"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.25"
"5,0.25"
"6,0.25"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.25"
"5,0.25"
"6,0.25"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.25"
"5,0.25"
"6,0.25"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.25"
"5,0.25"
"6,0.25"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.25"
"5,0.25"
"6,0.25"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.3333333333333333"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.25"
"5,0.25"
"6,0.3333333333333333"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.5"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.25"
"5,0.25"
"6,0.3333333333333333"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.5"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.25"
"5,0.25"
"6,0.3333333333333333"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.5"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.25"
"5,0.3333333333333333"
"6,0.3333333333333333"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.5"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.25"
"5,0.3333333333333333"
"6,0.3333333333333333"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.5"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.25"
"5,0.3333333333333333"
"6,0.3333333333333333"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.3333333333333333"
"15,0.5"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.3333333333333333"
"5,0.3333333333333333"
"6,0.3333333333333333"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.5"
"15,0.5"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.3333333333333333"
"5,0.3333333333333333"
"6,0.3333333333333333"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.5"
"15,0.5"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.3333333333333333"
"5,0.3333333333333333"
"6,0.3333333333333333"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.5"
"15,0.5"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.3333333333333333"
"5,0.3333333333333333"
"6,0.3333333333333333"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.5"
"15,0.5"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.3333333333333333"
"5,0.3333333333333333"
"6,0.3333333333333333"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.5"
"15,0.5"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.3333333333333333"
"5,0.3333333333333333"
"6,0.3333333333333333"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.5"
"15,0.5"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.3333333333333333"
"5,0.3333333333333333"
"6,0.3333333333333333"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.5"
"15,0.5"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.3333333333333333"
"5,0.3333333333333333"
"6,0.3333333333333333"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.5"
"15,0.5"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.3333333333333333"
"5,0.3333333333333333"
"6,0.3333333333333333"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.5"
"15,0.5"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.3333333333333333"
"5,0.3333333333333333"
"6,0.3333333333333333"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.5"
"15,0.5"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.3333333333333333"
"5,0.3333333333333333"
"6,0.3333333333333333"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.5"
"15,0.5"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.3333333333333333"
"5,0.3333333333333333"
"6,0.3333333333333333"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.5"
"15,0.5"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.3333333333333333"
"5,0.3333333333333333"
"6,0.3333333333333333"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.5"
"15,0.5"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.3333333333333333"
"5,0.3333333333333333"
"6,0.3333333333333333"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.5"
"15,0.5"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.3333333333333333"
"5,0.3333333333333333"
"6,0.3333333333333333"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.5"
"15,0.5"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.3333333333333333"
"5,0.3333333333333333"
"6,0.3333333333333333"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.5"
"15,0.5"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.3333333333333333"
"5,0.3333333333333333"
"6,0.3333333333333333"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.5"
"15,0.5"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.3333333333333333"
"5,0.3333333333333333"
"6,0.3333333333333333"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.5"
"15,0.5"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.3333333333333333"
"5,0.3333333333333333"
"6,0.3333333333333333"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.5"
"15,0.5"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.3333333333333333"
"5,0.3333333333333333"
"6,0.3333333333333333"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.5"
"15,0.5"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.3333333333333333"
"5,0.3333333333333333"
"6,0.3333333333333333"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.5"
"15,0.5"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.3333333333333333"
"5,0.3333333333333333"
"6,0.3333333333333333"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.5"
"15,0.5"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.3333333333333333"
"5,0.3333333333333333"
"6,0.3333333333333333"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.5"
"15,0.5"
"16,0.5"
"17,0.5"
"18,0.5"
"19,0.5"
"0,0.25"
"1,0.25"
"2,0.25"
"3,0.25"
"4,0.3333333333333333"
"5,0.3333333333333333"
"6,0.3333333333333333"
"7,0.3333333333333333"
"8,0.3333333333333333"
"9,0.3333333333333333"
"10,0.3333333333333333"
"11,0.3333333333333333"
"12,0.3333333333333333"
"13,0.3333333333333333"
"14,0.5"
"15,0.5"
